vehicle_vin,vehicle_make,vehicle_model,vehicle_year
1GD21ZCG5DZ141548,Mercedes-Benz,G55 AMG,2006
1G4HE57Y88U252575,MINI,Cooper,2002
WBAXH5C55CD173566,Isuzu,Hombre Space,1999
WAUMFAFL9AN793825,Mercedes-Benz,E-Class,1993
3VWAL7AJXAM571700,GMC,Sonoma,2001
WAULFAFRXCA209314,BMW,X5,2011
1FTWF3D51AE080233,Dodge,Grand Caravan,2003
WA1LMAFE6FD563270,Mercedes-Benz,C-Class,1998
1N4AA5AP0CC803006,GMC,Yukon,2013
3FADP0L39CR054345,Dodge,Challenger,2009
1GYFK66858R584868,Subaru,Baja,2004
5FRYD4H41FB764552,Toyota,Ipsum,2000
5UXKS4C55F0790291,Dodge,Grand Caravan,1994
2LMHJ5FK4FB121644,Mitsubishi,Truck,1993
JH4DC53863C322053,GMC,Yukon XL 2500,2011
SCBZB25E02C047437,Acura,RL,1996
4T1BF3EK0BU637643,Hyundai,Santa Fe,2002
5N1AR2MM9DC606514,Mercury,Grand Marquis,1990
3VWKP7AJ5CM177680,Chevrolet,Blazer,2004
JH4DC53096S112325,Ford,Crown Victoria,2004
1G6KE54Y93U497038,Subaru,Outback,2002
5TDBW5G17DS725231,Cadillac,CTS,2008
WBAKG7C59DE291317,Toyota,Tundra,2011
2C3CCAST1CH081953,Dodge,D350,1993
3VW4T7AT3EM452276,Lincoln,Continental,1999
5FRYD3H6XFB995588,Saab,9000,1988
3VWF17AT7FM305460,Volkswagen,Golf,2011
WDDDJ7CB1AA779544,Bentley,Continental,2011
JTHBE1KS7A0746654,Suzuki,Grand Vitara,1999
5YMGY0C51DL706131,Nissan,Sentra,1998
JA4AP3AU0CZ032220,Toyota,Land Cruiser,1998
1FTSF3A58AE925145,Cadillac,Escalade ESV,2004
3D7JV1EP9BG833494,BMW,M5,2001
5FRYD4H20GB138233,Cadillac,Escalade,2002
1C3BC4EB2AN072361,Chrysler,Sebring,2010
1N6AF0KY4EN911803,Mercury,Mariner,2011
WAUGL78EX5A360986,Ford,E150,2010
1FTSW2A52AE781411,Volkswagen,Passat,1992
3C63DPGL5CG564308,Dodge,Ram 3500,1999
1FMCU0F76DU833069,Pontiac,GTO,1973
SCFEDCAD7CG988999,Mercury,Villager,2001
WBA6B4C50FD157951,Mercury,Sable,1996
1G6DT57V290637768,Honda,Civic,1980
WVWGD7AJ8EW165799,Pontiac,Firefly,1992
1G6AM1R32F0818448,Pontiac,GTO,2005
19UUA65694A191157,Dodge,Dakota Club,1992
WAUKFAFLXDA080466,Cadillac,Seville,2003
2G4WS55J941517144,Dodge,Ram 3500,2002
1B3AZ6EZ7AV895660,Plymouth,Breeze,1996
WA1CMBFP8EA662664,Lotus,Elan,1992
KMHFH4JG3FA734569,Mitsubishi,Pajero,2003
SCBCU7ZA7BC670834,Mercury,Mariner,2010
1N4AL2AP6BC478367,Buick,Roadmaster,1993
SCBZK25E13C304008,Lamborghini,Gallardo,2005
1N4AB7AP5EN020053,GMC,Canyon,2010
JH4CL96925C510613,Honda,Civic,2005
WBA3B5C54DP707558,BMW,530,2004
1C4SDHCT9DC372149,Chevrolet,Corvette,1989
19UUA8F3XDA974729,Audi,A8,2005
WAUUL78E56A808409,Cadillac,Fleetwood,1992
JTDBT4K35A1798103,Lexus,SC,1992
WVGFG9BP7BD715045,BMW,X6,2010
WDBWK5EA3AF408640,Toyota,Celica,2003
SCFBF04BX8G438483,Mercedes-Benz,E-Class,2004
3C63D2GL1CG970878,Mazda,626,1987
1G6AJ5SXXD0308746,Chevrolet,Cobalt,2006
3N1BC1AP0AL328771,GMC,Savana 2500,1996
1GKS1GEJ6DR987385,Mitsubishi,Galant,1995
WAUVC68E95A871915,Ford,Crown Victoria,2006
WBSDX9C55DE971067,Toyota,4Runner,2004
WVWAN7AN9EE242577,Mercedes-Benz,C-Class,2000
JTHBE1BLXFA448674,GMC,3500,1994
3GYFK66N23G136277,Mitsubishi,Cordia,1987
5GADX33L56D919905,Mazda,Protege,1994
JM1NC2JF5D0240727,Dodge,Intrepid,2004
KNAGM4AD3F5410697,Chevrolet,Cobalt,2010
1GYS4HKJ3FR073282,Dodge,Charger,2008
KMHTC6AD3CU164182,Ford,Excursion,2005
1FT7W2A69EE184258,GMC,Envoy,2005
1C3BCBFGXCN226381,Cadillac,STS-V,2008
WVGDP9BP4ED878764,Mercedes-Benz,CLS-Class,2012
3VW4S7AT3EM165619,Cadillac,Seville,1992
1GYFC53239R722402,Ford,Escort,1985
2G4GP5EX4E9755173,Dodge,Dakota,2002
WBAPK7C51BF232726,Nissan,Cube,2010
WAUGN94F07N799470,Mercury,Mountaineer,2005
5XXGM4A75CG216497,Ford,Freestyle,2007
SCBCR7ZA5AC786193,Volkswagen,Fox,1988
5TDDK3DC2DS004426,Toyota,TundraMax,2011
1GD21ZCG8BZ294065,Nissan,Altima,1996
1G6DK5EG5A0670663,Dodge,Intrepid,1994
3GYFNEE3XCS834232,GMC,Canyon,2008
WAUUFAFH2AN541992,Mazda,626,1985
5UXFF0C52AL550010,Mercedes-Benz,SL-Class,1999
1G6DM5E3XC0063281,Nissan,Pathfinder,2002
JH4DB85911S948476,Isuzu,Oasis,1998
3VWF17AT5FM591602,Mazda,MX-5,2003
JN1CV6AP0DM276659,Chrysler,Pacifica,2006
WAU2GBFC5EN075317,Chevrolet,Express 2500,1996
WAULFAFR1CA960947,Dodge,D250,1993
