vehicle_make,vehicle_model,vehicle_year,vehicle_vin
Mercedes-Benz,G55 AMG,2006,1GD21ZCG5DZ141548
MINI,Cooper,2002,1G4HE57Y88U252575
Isuzu,Hombre Space,1999,WBAXH5C55CD173566
Mercedes-Benz,E-Class,1993,WAUMFAFL9AN793825
GMC,Sonoma,2001,3VWAL7AJXAM571700
BMW,X5,2011,WAULFAFRXCA209314
Dodge,Grand Caravan,2003,1FTWF3D51AE080233
Mercedes-Benz,C-Class,1998,WA1LMAFE6FD563270
GMC,Yukon,2013,1N4AA5AP0CC803006
Dodge,Challenger,2009,3FADP0L39CR054345
Subaru,Baja,2004,1GYFK66858R584868
Toyota,Ipsum,2000,5FRYD4H41FB764552
Dodge,Grand Caravan,1994,5UXKS4C55F0790291
Mitsubishi,Truck,1993,2LMHJ5FK4FB121644
GMC,Yukon XL 2500,2011,JH4DC53863C322053
Acura,RL,1996,SCBZB25E02C047437
Hyundai,Santa Fe,2002,4T1BF3EK0BU637643
Mercury,Grand Marquis,1990,5N1AR2MM9DC606514
Chevrolet,Blazer,2004,3VWKP7AJ5CM177680
Ford,Crown Victoria,2004,JH4DC53096S112325
Subaru,Outback,2002,1G6KE54Y93U497038
Cadillac,CTS,2008,5TDBW5G17DS725231
Toyota,Tundra,2011,WBAKG7C59DE291317
Dodge,D350,1993,2C3CCAST1CH081953
Lincoln,Continental,1999,3VW4T7AT3EM452276
Saab,9000,1988,5FRYD3H6XFB995588
Volkswagen,Golf,2011,3VWF17AT7FM305460
Bentley,Continental,2011,WDDDJ7CB1AA779544
Suzuki,Grand Vitara,1999,JTHBE1KS7A0746654
Nissan,Sentra,1998,5YMGY0C51DL706131
Toyota,Land Cruiser,1998,JA4AP3AU0CZ032220
Cadillac,Escalade ESV,2004,1FTSF3A58AE925145
BMW,M5,2001,3D7JV1EP9BG833494
Cadillac,Escalade,2002,5FRYD4H20GB138233
Chrysler,Sebring,2010,1C3BC4EB2AN072361
Mercury,Mariner,2011,1N6AF0KY4EN911803
Ford,E150,2010,WAUGL78EX5A360986
Volkswagen,Passat,1992,1FTSW2A52AE781411
Dodge,Ram 3500,1999,3C63DPGL5CG564308
Pontiac,GTO,1973,1FMCU0F76DU833069
Mercury,Villager,2001,SCFEDCAD7CG988999
Mercury,Sable,1996,WBA6B4C50FD157951
Honda,Civic,1980,1G6DT57V290637768
Pontiac,Firefly,1992,WVWGD7AJ8EW165799
Pontiac,GTO,2005,1G6AM1R32F0818448
Dodge,Dakota Club,1992,19UUA65694A191157
Cadillac,Seville,2003,WAUKFAFLXDA080466
Dodge,Ram 3500,2002,2G4WS55J941517144
Plymouth,Breeze,1996,1B3AZ6EZ7AV895660
Lotus,Elan,1992,WA1CMBFP8EA662664
Mitsubishi,Pajero,2003,KMHFH4JG3FA734569
Mercury,Mariner,2010,SCBCU7ZA7BC670834
Buick,Roadmaster,1993,1N4AL2AP6BC478367
Lamborghini,Gallardo,2005,SCBZK25E13C304008
GMC,Canyon,2010,1N4AB7AP5EN020053
Honda,Civic,2005,JH4CL96925C510613
BMW,530,2004,WBA3B5C54DP707558
Chevrolet,Corvette,1989,1C4SDHCT9DC372149
Audi,A8,2005,19UUA8F3XDA974729
Cadillac,Fleetwood,1992,WAUUL78E56A808409
Lexus,SC,1992,JTDBT4K35A1798103
BMW,X6,2010,WVGFG9BP7BD715045
Toyota,Celica,2003,WDBWK5EA3AF408640
Mercedes-Benz,E-Class,2004,SCFBF04BX8G438483
Mazda,626,1987,3C63D2GL1CG970878
Chevrolet,Cobalt,2006,1G6AJ5SXXD0308746
GMC,Savana 2500,1996,3N1BC1AP0AL328771
Mitsubishi,Galant,1995,1GKS1GEJ6DR987385
Ford,Crown Victoria,2006,WAUVC68E95A871915
Toyota,4Runner,2004,WBSDX9C55DE971067
Mercedes-Benz,C-Class,2000,WVWAN7AN9EE242577
GMC,3500,1994,JTHBE1BLXFA448674
Mitsubishi,Cordia,1987,3GYFK66N23G136277
Mazda,Protege,1994,5GADX33L56D919905
Dodge,Intrepid,2004,JM1NC2JF5D0240727
Chevrolet,Cobalt,2010,KNAGM4AD3F5410697
Dodge,Charger,2008,1GYS4HKJ3FR073282
Ford,Excursion,2005,KMHTC6AD3CU164182
GMC,Envoy,2005,1FT7W2A69EE184258
Cadillac,STS-V,2008,1C3BCBFGXCN226381
Mercedes-Benz,CLS-Class,2012,WVGDP9BP4ED878764
Cadillac,Seville,1992,3VW4S7AT3EM165619
Ford,Escort,1985,1GYFC53239R722402
Dodge,Dakota,2002,2G4GP5EX4E9755173
Nissan,Cube,2010,WBAPK7C51BF232726
Mercury,Mountaineer,2005,WAUGN94F07N799470
Ford,Freestyle,2007,5XXGM4A75CG216497
Volkswagen,Fox,1988,SCBCR7ZA5AC786193
Toyota,TundraMax,2011,5TDDK3DC2DS004426
Nissan,Altima,1996,1GD21ZCG8BZ294065
Dodge,Intrepid,1994,1G6DK5EG5A0670663
GMC,Canyon,2008,3GYFNEE3XCS834232
Mazda,626,1985,WAUUFAFH2AN541992
Mercedes-Benz,SL-Class,1999,5UXFF0C52AL550010
Nissan,Pathfinder,2002,1G6DM5E3XC0063281
Isuzu,Oasis,1998,JH4DB85911S948476
Mazda,MX-5,2003,3VWF17AT5FM591602
Chrysler,Pacifica,2006,JN1CV6AP0DM276659
Chevrolet,Express 2500,1996,WAU2GBFC5EN075317
Dodge,D250,1993,WAULFAFR1CA960947
